tract,location,availability_of_jobs_in_2013
8031001702,"Central, Denver, CO",148450
8031002601,"Central, Denver, CO",85383
8031002702,"Central, Denver, CO",61087
8031001701,"Ballpark, Denver, CO",55027
8031002701,"Capitol Hill, Denver, CO",36077
8031003101,"Central, Denver, CO",26239
8031001800,"Central, Denver, CO",22670
8005004952,"Glendale, CO",21411
8031006804,"Southeast, Denver, CO",18901
8031003102,"Central, Denver, CO",17609
8005006858,"Denver Tech Center, Greenwood Village, CO",17235
8031003800,"East, Denver, CO",15357
8031005300,"South, Denver, CO",14841
8001008100,"Fitzsimons, Aurora, CO",14487
8059011733,"Union Square, Lakewood, CO",14418
8031004301,"East, Denver, CO",12441
8005006712,"Greenwood Village, CO",12106
8031015500,"East, Denver, CO",11996
8031002602,"Central, Denver, CO",11303
8031005104,"East, Denver, CO",11297
8005006501,"Littleton, CO",11117
8001008506,"Northglenn, CO",10455
8005005951,"Englewood, CO",9429
8031002802,"Central, Denver, CO",8895
8005081100,"City Center, Aurora, CO",8511
8031002000,"Central, Denver, CO",7980
8031000600,"Jefferson Park, Denver, CO",7868
8059011805,"South Alameda, Lakewood, CO",7812
8031001901,"Central, Denver, CO",7646
8031003703,"Central, Denver, CO",7230
8059009807,"Applewood West, Golden, CO",7147
8031002901,"Washington Park West, Denver, CO",7052
8031980100,"Montbello, Denver, CO",6620
8059011732,"Union Square, Lakewood, CO",6264
8005005551,"South, Denver, CO",5844
8031001600,"North, Denver, CO",5802
8059011401,"Edgewood, Lakewood, CO",5699
8031003004,"South, Denver, CO",5693
8031001000,"Valverde, Denver, CO",5634
8059010100,"East Old Golden Rd, Golden, CO",5603
8031006701,"Southeast, Denver, CO",5493
8059010405,"I-70 Corridor, Arvada, CO",5358
8031001102,"Highland, Denver, CO",5306
8031003902,"Cory - Merrill, Denver, CO",5217
8031003002,"Rosedale, Denver, CO",5160
8031001902,"Northwest, Denver, CO",5039
8005087100,"Dayton Triangle, Aurora, CO",5032
8031002100,"Central, Denver, CO",4985
8005080400,"Dam East/West, Aurora, CO",4981
8059010902,"Eiber, Lakewood, CO",4900
8005006000,"Englewood, CO",4866
8005005700,"Englewood, CO",4693
8059011904,"Lakewood, CO",4516
8005081000,"City Center North, Aurora, CO",4483
8001009407,"Westminster, CO",4444
8005006502,"Littleton, CO",4393
8005082000,"Centretech, Aurora, CO",4281
8001009203,"Thornton, CO",4257
8031004102,"East, Denver, CO",4179
8005080700,"Utah Park, Aurora, CO",3975
8059980000,"Denver, CO",3961
8031001401,"Ruby Hill, Denver, CO",3926
8031003202,"Cheesman Park, Denver, CO",3867
8001008709,"Commerce City, CO",3794
8031002801,"Alamo Placita, Denver, CO",3784
8005080500,"East Ridge - Ptarmigan Park, Aurora, CO",3768
8005080300,"Village East, Aurora, CO",3735
8005087000,"Dayton Triangle, Denver, CO",3707
8031002703,"Central, Denver, CO",3678
8059010000,"Kinney Runn, Golden, CO",3638
8059010406,"Arvada, CO",3555
8031000800,"Sun Valley, Denver, CO",3480
8005081400,"Heather Gardens, Aurora, CO",3479
8031006901,"Goldsmith, Denver, CO",3473
8059009831,"West Central Westminster, Westminster, CO",3463
8031001403,"Overland, Denver, CO",3459
8014031100,"Broomfield, CO",3432
8059011723,"Foothills, Lakewood, CO",3409
8059015800,"Applewood, Lakewood, CO",3389
8059011402,"Edgewood, Lakewood, CO",3363
8059011602,"North Alameda, Lakewood, CO",3260
8005086900,"Denver, CO",3106
8031001500,"Globeville, Denver, CO",3049
8031002403,"Five Points, Denver, CO",2953
8031005200,"East, Denver, CO",2943
8001009323,"Northglenn, CO",2937
8031007037,"East, Denver, CO",2935
8031006809,"Southeast, Denver, CO",2859
8031003500,"North, Denver, CO",2825
8031006813,"Southeast, Denver, CO",2818
8005005620,"Littleton, CO",2787
8059010402,"I-70 Corridor, Arvada, CO",2739
8005006200,"Englewood, CO",2730
8001009320,"Westminster, CO",2683
8031004101,"East, Denver, CO",2682
8059012054,"Governors Ranch, Littleton, CO",2659
8059011701,"Belmar Park, Lakewood, CO",2579
8031000402,"Highland, Denver, CO",2577
8005087300,"Denver, CO",2534
8031006812,"Southeast, Denver, CO",2525
8001009607,"Westminster, CO",2499
8005006854,"Greenwood Village, CO",2475
8059010603,"Barths, Wheat Ridge, CO",2445
8031003901,"Belcaro, Denver, CO",2434
8031003603,"North, Denver, CO",2410
8059011601,"North Alameda, Denver, CO",2408
8001008309,"Norfolk Glen, Aurora, CO",2392
8059011100,"Eiber, Lakewood, CO",2384
8031003001,"Platt Park, Denver, CO",2374
8031004005,"University Park, Denver, CO",2365
8001060200,"North Westminster, Denver, CO",2357
8001009553,"Denver, CO",2326
8014030300,"Broomfield, CO",2290
8005005552,"Englewood, CO",2287
8031002803,"Central, Denver, CO",2257
8031015400,"Northwest, Denver, CO",2193
8031006810,"Southeast, Denver, CO",2176
8031004107,"Northeast, Denver, CO",2131
8005006601,"Littleton, CO",2109
8031000303,"Northwest, Denver, CO",2097
8014031200,"Broomfield, CO",2076
8031003702,"Central, Denver, CO",2073
8001015000,"Denver, CO",2070
8014030200,"Broomfield, CO",2064
8001008308,"Sable Altura Chambers, Aurora, CO",2061
8001008529,"Thornton, CO",2052
8005080100,"Expo Park, Aurora, CO",2050
8031003601,"North, Denver, CO",2047
8005006855,"Greenwood Village, CO",1996
8059009832,"Far Horizons, Arvada, CO",1992
8031001101,"Northwest, Denver, CO",1974
8031003201,"Central, Denver, CO",1970
8059010901,"Applewood West, Golden, CO",1970
8031015600,"South, Denver, CO",1948
8059010305,"Alta Vista Area, Arvada, CO",1941
8031008312,"Montbello, Denver, CO",1938
8013060700,"Louisville, CO",1933
8031005002,"East, Denver, CO",1896
8031002902,"South, Denver, CO",1895
8001009202,"Thornton, CO",1894
8001009001,"Denver, CO",1883
8059011729,"Bear Creek, Lakewood, CO",1805
8001009318,"Thornton, CO",1786
8001009608,"Arvada, CO",1778
8031001302,"West, Denver, CO",1772
8005081500,"Heather Gardens, Aurora, CO",1751
8031003203,"Central, Denver, CO",1740
8059011550,"Country Club, Lakewood, CO",1726
8031003701,"Central, Denver, CO",1723
8031012010,"Grant Ranch, Denver, CO",1721
8031004405,"East, Denver, CO",1708
8001009603,"South Westminster, Westminster, CO",1700
8031000202,"Northwest, Denver, CO",1681
8059010502,"Bel Aire, Wheat Ridge, CO",1662
8031004106,"Northeast, Denver, CO",1659
8031000201,"Chaffee Park, Denver, CO",1657
8031007013,"East, Denver, CO",1652
8031015300,"Denver, CO",1650
8059010403,"Fruitdale, Wheat Ridge, CO",1647
8059012050,"Grant Ranch, Littleton, CO",1629
8005006400,"Englewood, CO",1619
8001009604,"South Westminster, Westminster, CO",1608
8001007801,"North Aurora, Aurora, CO",1601
8005087200,"Denver, CO",1583
8001007802,"North Aurora, Aurora, CO",1577
8005007600,"Jewell Heights - Hoffman Heights, Aurora, CO",1520
8059009830,"West Westminster, Westminster, CO",1468
8031000301,"Berkeley, Denver, CO",1457
8005004951,"Denver, CO",1450
8005007400,"Delmar Parkway, Aurora, CO",1438
8031002402,"North, Denver, CO",1437
8059060400,"North Central Westminster, Broomfield, CO",1435
8001009308,"Denver, CO",1427
8001008200,"Morris Heights, Aurora, CO",1410
8031006811,"Southeast, Denver, CO",1374
8059009839,"Ralston Valley, Arvada, CO",1367
8059010604,"Barths, Wheat Ridge, CO",1362
8005007302,"Delmar Parkway, Aurora, CO",1347
8001008547,"Thornton, CO",1343
8059011202,"Creighton, Lakewood, CO",1342
8031000701,"West, Denver, CO",1320
8059009827,"Westcliff & Cambridge, Westminster, CO",1306
8005006300,"Englewood, CO",1301
8001009325,"North Central Westminster, Westminster, CO",1299
8001009321,"Federal Heights, CO",1285
8001009501,"South Westminster, Westminster, CO",1282
8031003602,"North, Denver, CO",1274
8001009002,"Denver, CO",1265
8031012014,"Marston, Littleton, CO",1262
8001008901,"Commerce City, CO",1261
8031004801,"Southwest, Denver, CO",1261
8031000702,"West, Denver, CO",1261
8005083800,"Meadow Hills, Aurora, CO",1258
8005081800,"Chambers Heights, Aurora, CO",1251
8059011702,"Kendrick Lake, Lakewood, CO",1248
8059011000,"Morse Park, Lakewood, CO",1228
8001009502,"Denver, CO",1213
8005081200,"Sable Ridge, Aurora, CO",1204
8059009806,"Applewood West, Golden, CO",1194
8031000302,"Northwest, Denver, CO",1190
8059010213,"Lamar Heights Area, Arvada, CO",1183
8031004202,"East, Denver, CO",1171
8001009411,"East Central Westminster, Westminster, CO",1170
8005005553,"Englewood, CO",1165
8059980400,"Jefferson County, CO",1151
8001009752,"Denver, CO",1120
8031003003,"University, Denver, CO",1117
8005084000,"Mission Viejo, Aurora, CO",1091
8005084600,"Pheasant Run, Aurora, CO",1081
8059009834,"West Westminster, Arvada, CO",1080
8031004201,"East, Denver, CO",1071
8059010307,"Allendale Area, Arvada, CO",1054
8005080600,"Heather Ridge, Aurora, CO",1054
8005005612,"Greenwood Village, CO",1049
8031004506,"West, Denver, CO",1046
8031004003,"South, Denver, CO",1039
8031005502,"Fort Logan, Denver, CO",1036
8059010206,"Club Crest, Arvada, CO",1031
8059010212,"Lamar Heights Area, Arvada, CO",1026
8059010503,"Wheat Ridge, CO",1016
8001009307,"Denver, CO",1016
8031005102,"East, Denver, CO",1002
8005006100,"Englewood, CO",990.9
8059010308,"Arvada Plaza Area, Arvada, CO",986.8
8059009900,"Golden, CO",984.3
8031004304,"East, Denver, CO",973.3
8001009322,"Thornton, CO",969.9
8031005001,"East, Denver, CO",969.7
8031001301,"West, Denver, CO",967.4
8001009204,"Thornton, CO",958.5
8059011300,"Edgewater, CO",955.6
8005080200,"Village East, Aurora, CO",952.1
8059010504,"Applewood, Lakewood, CO",938.4
8031006814,"Southeast, Denver, CO",936.7
8001008802,"Commerce City, CO",929.2
8059010701,"Barths, Wheat Ridge, CO",926.1
8031003401,"Washington Park, Denver, CO",917.4
8031004505,"West, Denver, CO",917.1
8001009401,"Westminster, CO",911.6
8059009852,"Appleridge Estates, Arvada, CO",904.2
8001009408,"North Central Westminster, Westminster, CO",887.8
8014030000,"Broomfield, CO",882.8
8001009751,"Denver, CO",879.4
8005080000,"Expo Park, Aurora, CO",875.5
8031003402,"South, Denver, CO",863.8
8005080900,"Aurora Hills, Aurora, CO",850.8
8059011727,"Carmody, Lakewood, CO",847
8005007201,"Sunny Vale, Aurora, CO",846.6
8005082600,"Tollgate Overlook, Aurora, CO",836.7
8001008533,"Northglenn, CO",825.5
8001009304,"Northglenn, CO",819.1
8059010306,"Allendale Area, Arvada, CO",809.8
8005086800,"Denver, CO",807.5
8059009849,"Lakota Hills, Golden, CO",796.5
8014030100,"Broomfield, CO",793.3
8005081600,"Meadowood, Aurora, CO",784.7
8059010304,"Alta Vista Area, Arvada, CO",783.1
8005007704,"Highline Villages, Aurora, CO",771.6
8005007301,"Jewell Heights - Hoffman Heights, Aurora, CO",771.1
8059009841,"Northwest Arvada, Arvada, CO",769.1
8031004006,"South, Denver, CO",766.6
8059009842,"Golden, CO",765
8031000401,"Sunnyside, Denver, CO",764.6
8031003300,"Central, Denver, CO",764.1
8005081300,"Willow Park, Aurora, CO",753.3
8059011804,"Lasley, Lakewood, CO",750.7
8059009851,"Wyndhams, Arvada, CO",746.5
8005083300,"Aurora Knolls - Hutchinson Heights, Aurora, CO",744.9
8001009206,"Thornton, CO",744
8001008705,"Commerce City, CO",738.1
8005083500,"Country Lane, Aurora, CO",735.6
8059010208,"Highlands, Arvada, CO",721.6
8005082700,"Aurora Highlands, Aurora, CO",719.1
8001008801,"Commerce City, CO",700.6
8031000502,"Northwest, Denver, CO",694.3
8059011711,"Foothills, Lakewood, CO",689.7
8059009833,"Lake Arbor Fairways, Arvada, CO",685.4
8031015700,"Southwest, Denver, CO",679
8001008535,"Henderson, CO",671.2
8031000102,"Berkeley, Denver, CO",663.6
8001009406,"East Central Westminster, Westminster, CO",661.7
8005007703,"Highland Park, Aurora, CO",655.9
8001008706,"Commerce City, CO",652.9
8059011803,"Greenbriar - Cloverdale, Lakewood, CO",652.3
8031004303,"East, Denver, CO",636.3
8031011903,"Bear Valley, Denver, CO",634.6
8005085700,"Prides Crossing, Aurora, CO",631.9
8013060800,"Lafayette, CO",626
8059010211,"Scenic Heights, Arvada, CO",625
8059011731,"Bear Creek, Lakewood, CO",618.1
8001009606,"Denver, CO",605
8014030800,"Broomfield, CO",596.8
8005086200,"Centennial, CO",595.3
8059012042,"Foothill Green, Littleton, CO",593.1
8005085400,"Centennial, CO",588.2
8031004306,"East, Denver, CO",588.1
8059009828,"Kings Mill, Broomfield, CO",587.9
8005005800,"Englewood, CO",585.5
8001009319,"Federal Heights, CO",577.9
8005082200,"Aurora, CO",570.9
8059009838,"Meadows At Westwoods, Arvada, CO",566.9
8005081700,"Centennial, CO",564.4
8031004004,"Southeast, Denver, CO",550.5
8005082800,"Aurora Highlands, Aurora, CO",550
8059011721,"Sixth Ave West, Golden, CO",549.8
8005005952,"Englewood, CO",529.7
8059010702,"Wheat Ridge, CO",527.1
8005082400,"Aurora, CO",527
8005082300,"Horseshoe Park, Aurora, CO",527
8001009306,"Denver, CO",517.1
8031004104,"East, Denver, CO",509.2
8005080800,"Aurora Hills, Aurora, CO",504.2
8059011709,"Kendrick Lake, Lakewood, CO",500
8031004602,"Mar Lee, Denver, CO",500
8031000903,"Barnum, Denver, CO",498
8005082100,"Centre Pointe, Aurora, CO",496
8059060300,"North Central Westminster, Broomfield, CO",495.8
8005083400,"Seven Hills, Aurora, CO",480.1
8059010209,"South Westminster, Arvada, CO",479.7
8031004603,"Harvey Park, Denver, CO",478.5
8031011902,"Bear Valley, Denver, CO",478.4
8001009326,"North Central Westminster, Westminster, CO",470.8
8005084300,"Aurora, CO",469.3
8031007088,"East, Denver, CO",466.2
8031000501,"Northwest, Denver, CO",465.5
8031004700,"Southwest, Denver, CO",459.5
8059011806,"South Alameda, Lakewood, CO",451.4
8031005503,"Fort Logan, Denver, CO",448.7
8059010801,"Applewood, Lakewood, CO",444
8031980000,"Denver, CO",436.1
8031004601,"West, Denver, CO",434
8031007089,"East, Denver, CO",431.9
8031004302,"Hale, Denver, CO",427.2
8001009316,"Thornton, CO",427.1
8005084200,"Carriage Place, Aurora, CO",423.1
8001007900,"Aurora, CO",413.7
8001009309,"Westminster, CO",406.6
8014030700,"Broomfield, CO",402.6
8059011728,"Carmody, Lakewood, CO",389.5
8059060500,"West Westminster, Westminster, CO",386.1
8001008505,"Northglenn, CO",384.4
8005084700,"Mission Viejo, Aurora, CO",364.7
8001008548,"Thornton, CO",357.6
8031008388,"Gateway, Denver, CO",356.7
8059011726,"Green Mountain, Lakewood, CO",356.1
8005083900,"Meadow Hills, Aurora, CO",355.4
8031000902,"Barnum West, Denver, CO",355
8001008508,"Thornton, CO",352.2
8031002300,"North, Denver, CO",328
8005083700,"Aurora, CO",323.1
8005084100,"Carriage Place, Aurora, CO",318.6
8001060100,"North Westminster, Westminster, CO",313.4
8031004404,"East, Denver, CO",307.5
8031004103,"East, Denver, CO",307.1
8059012041,"Littleton, CO",306.2
8059010303,"Northwest Arvada, Arvada, CO",303.1
8031007006,"Denver, CO",302.6
8031008389,"Green Valley Ranch, Denver, CO",296.5
8031004403,"East, Denver, CO",288
8001008546,"Thornton, CO",282.1
8059012043,"Westgold Meadows, Littleton, CO",278.5
8014030900,"Broomfield, CO",274.5
8059011708,"Glennon Heights, Lakewood, CO",274.4
8059009840,"Northwest Arvada, Arvada, CO",274.3
8059011712,"Green Mountain, Lakewood, CO",265.7
8005006857,"Greenwood Village, CO",265.5
8005015100,"Southeast, Denver, CO",261.3
8014031000,"Broomfield, CO",257.3
8059009835,"Meadowglen, Arvada, CO",255.9
8059009829,"West Westminster, Westminster, CO",255.1
8005005619,"Littleton, CO",254.9
8013061400,"Superior, CO",250.5
8005006705,"Englewood, CO",249.6
8001008507,"Northglenn, CO",247.8
8005081900,"Laredo Highline, Aurora, CO",247.8
8031012001,"Southwest, Denver, CO",244.8
8031008304,"Montbello, Denver, CO",238.2
8059015900,"Lakewood, CO",236.9
8001008534,"Grange Creek, Thornton, CO",236.7
8031008386,"Montbello, Denver, CO",228.9
8001008537,"Henderson, CO",227.8
8059009824,"West Westminster, Westminster, CO",227
8014030500,"Broomfield, CO",224.6
8013061300,"Louisville, CO",221.4
8001008524,"Thornton, CO",213.5
8005007702,"Lynn Knoll, Aurora, CO",212.5
8001009410,"East Central Westminster, Westminster, CO",204
8014030400,"Broomfield, CO",200.2
8001009409,"North Central Westminster, Westminster, CO",193
8059011720,"Lakewood, CO",192.6
8031004002,"South, Denver, CO",190.9
8005006808,"Englewood, CO",189.3
8005085500,"Centennial, CO",177.2
8031008390,"Green Valley Ranch, Denver, CO",174.5
8059010205,"Oak Park, Arvada, CO",173.5
8031004503,"West, Denver, CO",173
8005083600,"Aurora, CO",171.7
8059012039,"Friendly Hills, Morrison, CO",165.9
8001008544,"Thornton, CO",165.8
8059011725,"Green Mountain, Lakewood, CO",164.9
8001009310,"Denver, CO",163.5
8005007500,"Jewell Heights - Hoffman Heights, Aurora, CO",163.1
8005084500,"Aurora Knolls - Hutchinson Heights, Aurora, CO",162.5
8005006704,"Englewood, CO",157
8001008545,"Thornton, CO",156.8
8059011710,"Kendrick Lake, Lakewood, CO",156.8
8031004504,"West, Denver, CO",155.6
8001009104,"Thornton, CO",154.5
8001008549,"Brighton, CO",152.9
8031001402,"Ruby Hill, Denver, CO",151.9
8031000904,"Villa Park, Denver, CO",150.3
8005083100,"Sterling Hills, Aurora, CO",146.7
8059010210,"Scenic Heights, Arvada, CO",144.3
8059012038,"Willowbrook, Morrison, CO",139.5
8005086000,"Saddle Rock Ridge, Aurora, CO",138
8005082500,"Meadowood, Aurora, CO",137.3
8005084800,"Prides Crossing, Aurora, CO",134.7
8059011951,"Thraemoor, Lakewood, CO",132.7
8001008550,"Thornton, CO",119.8
8001008000,"Aurora, CO",115.4
8059011730,"Bear Creek, Lakewood, CO",112
8059009823,"West Westminster, Westminster, CO",107.2
8059009815,"Cameo Estates, Arvada, CO",106.6
8031000905,"Villa Park, Denver, CO",104.5
8005084400,"Aurora, CO",102.7
8013060600,"Superior, CO",101.2
8031008387,"Northeast, Denver, CO",101.2
8014030600,"Broomfield, CO",99.9
8001009101,"Thornton, CO",96.23
8001008538,"Reunion, Commerce City, CO",92.38
8001008526,"Thornton, CO",90.13
8005007202,"Aurora, CO",85.54
8005007104,"Aurora, CO",83.27
8059009836,"Cameo Estates, Arvada, CO",81.38
8059009843,"Golden, CO",75.47
8059009845,"Genesse Central, Golden, CO",72.51
8001009207,"Thornton, CO",72.13
8005005636,"Greenwood Village, CO",71.43
8001008523,"Brighton, CO",69.03
8001008540,"Thornton, CO",66.07
8005083200,"Tallgrass, Aurora, CO",64.58
8001009327,"Northglenn, CO",64.48
8001008353,"Northeast, Aurora, CO",64.09
8005085900,"Aurora, CO",55.71
8001008539,"Commerce City, CO",53.72
8059011724,"Green Mountain, Lakewood, CO",50.95
8059009837,"Quaker Acres, Arvada, CO",45.79
8059012034,"Morrison, CO",40.91
8005082900,"Louisiana Purchase, Aurora, CO",39.33
8005085800,"Prides Crossing, Aurora, CO",38.81
8031008391,"Northeast, Denver, CO",37.84
8001988700,"Denver, CO",32.73
8001008536,"Commerce City, CO",32.09
8001009103,"Thornton, CO",28.28
8031008305,"Montbello, Denver, CO",25.25
8001008541,"Brighton, CO",25.24
8031008306,"Northeast, Denver, CO",22.73
8001008551,"Thornton, CO",18.67
8059012027,"Indian Hills, CO",17.38
8005083000,"The Conservatory at the Plains, Aurora, CO",13.89
8005007105,"Aurora, CO",6.761
8005007106,"Aurora, CO",5.774
8005007103,"Bennett, CO",5.106
8001008401,"Bennett, CO",3.687